Country,Confirmed,Deaths,Recovered,Date
China,1,0,0,1/22/2020
China,14,0,0,1/22/2020
China,6,0,0,1/22/2020
China,1,0,0,1/22/2020
China,0,0,0,1/22/2020
China,26,0,0,1/22/2020
China,2,0,0,1/22/2020
China,1,0,0,1/22/2020
China,4,0,0,1/22/2020
China,1,0,0,1/22/2020
China,0,0,0,1/22/2020
China,5,0,0,1/22/2020
China,0,0,0,1/22/2020
China,444,0,0,1/22/2020
China,4,0,0,1/22/2020
China,0,0,0,1/22/2020
China,1,0,0,1/22/2020
China,2,0,0,1/22/2020
China,0,0,0,1/22/2020
China,2,0,0,1/22/2020
China,1,0,0,1/22/2020
China,1,0,0,1/22/2020
China,0,0,0,1/22/2020
China,0,0,0,1/22/2020
China,2,0,0,1/22/2020
China,9,0,0,1/22/2020
China,1,0,0,1/22/2020
China,5,0,0,1/22/2020
China,1,0,0,1/22/2020
China,4,0,0,1/22/2020
China,0,0,0,1/22/2020
US,1,0,0,1/22/2020
China,0,0,0,1/22/2020
China,1,0,0,1/22/2020
China,10,0,0,1/22/2020
Japan,2,0,0,1/22/2020
Thailand,2,0,0,1/22/2020
South Korea,1,0,0,1/22/2020
Mainland China,9,0,0,1/23/2020
Mainland China,22,0,0,1/23/2020
Mainland China,9,0,0,1/23/2020
Mainland China,5,0,0,1/23/2020
Mainland China,2,0,0,1/23/2020
Mainland China,32,0,2,1/23/2020
Mainland China,5,0,0,1/23/2020
Mainland China,3,0,0,1/23/2020
Mainland China,5,0,0,1/23/2020
Mainland China,1,1,0,1/23/2020
Mainland China,2,0,0,1/23/2020
Mainland China,5,0,0,1/23/2020
Hong Kong,2,0,0,1/23/2020
Mainland China,444,17,28,1/23/2020
Mainland China,9,0,0,1/23/2020
Mainland China,0,0,0,1/23/2020
Mainland China,5,0,0,1/23/2020
Mainland China,7,0,0,1/23/2020
Mainland China,1,0,0,1/23/2020
Mainland China,3,0,0,1/23/2020
Macau,2,0,0,1/23/2020
Mainland China,1,0,0,1/23/2020
Mainland China,0,0,0,1/23/2020
Mainland China,3,0,0,1/23/2020
Mainland China,6,0,0,1/23/2020
Mainland China,16,0,0,1/23/2020
Mainland China,1,0,0,1/23/2020
Mainland China,8,0,0,1/23/2020
Taiwan,1,0,0,1/23/2020
Mainland China,4,0,0,1/23/2020
Mainland China,0,0,0,1/23/2020
US,1,0,0,1/23/2020
Mainland China,2,0,0,1/23/2020
Mainland China,2,0,0,1/23/2020
Mainland China,27,0,0,1/23/2020
Japan,1,0,0,1/23/2020
Thailand,3,0,0,1/23/2020
South Korea,1,0,0,1/23/2020
Singapore,1,0,0,1/23/2020
Philippines,0,0,0,1/23/2020
Malaysia,0,0,0,1/23/2020
Vietnam,2,0,0,1/23/2020
Australia,0,0,0,1/23/2020
Mexico,0,0,0,1/23/2020
Brazil,0,0,0,1/23/2020
Mainland China,549,24,31,1/24/2020
Mainland China,53,0,2,1/24/2020
Mainland China,43,0,1,1/24/2020
Mainland China,36,0,1,1/24/2020
Mainland China,27,0,0,1/24/2020
Mainland China,24,0,0,1/24/2020
Mainland China,23,0,0,1/24/2020
Mainland China,20,0,1,1/24/2020
Mainland China,18,0,0,1/24/2020
Mainland China,15,0,0,1/24/2020
Mainland China,15,0,0,1/24/2020
Mainland China,15,0,0,1/24/2020
Mainland China,10,0,0,1/24/2020
Mainland China,9,0,0,1/24/2020
Mainland China,9,0,0,1/24/2020
Mainland China,8,0,0,1/24/2020
Mainland China,8,0,0,1/24/2020
Mainland China,5,0,0,1/24/2020
Mainland China,5,0,0,1/24/2020
Mainland China,4,1,0,1/24/2020
